Contracts,Trade Type,Qty,Entry Price,Realized P&L,Filled Price,Exit Type,Filled/Settlement Time(UTC+0),Create Time
KAITOUSDT,BUY,63.00000000000000000000,1.92150000000000000000,-2.26807162000000000000,1.95580000000000000000,Trade,06:29 2025-05-26,06:29 2025-05-26
DOGEUSDT,SELL,588.00000000000000000000,0.21950000000000000000,1.90130094000000000000,0.22290000000000000000,Trade,22:34 2025-05-25,18:31 2025-05-25
XRPUSDT,SELL,69.00000000000000000000,2.29950000000000000000,1.86710791000000000000,2.32830000000000000000,Trade,22:25 2025-05-25,18:16 2025-05-25
SUIUSDT,BUY,20.00000000000000000000,3.51650000000000000000,-0.89021430000000000000,3.55870000000000000000,Trade,22:15 2025-05-25,14:05 2025-05-25
ETHUSDT,SELL,0.07000000000000000000,2519.13000000000000000000,1.77909385000000000000,2546.45000000000000000000,Trade,22:10 2025-05-25,18:31 2025-05-25
POPCATUSDT,SELL,126.00000000000000000000,0.45050000000000000000,1.91905875000000000000,0.46610000000000000000,Trade,22:10 2025-05-25,18:30 2025-05-25
WIFUSDT,SELL,81.00000000000000000000,1.04510000000000000000,1.93183663000000000000,1.06980000000000000000,Trade,22:09 2025-05-25,18:30 2025-05-25
BNBUSDT,BUY,0.36000000000000000000,666.00000000000000000000,-1.28644702000000000000,668.80000000000000000000,Trade,22:09 2025-05-25,14:25 2025-05-25
1000PEPEUSDT,SELL,10000.00000000000000000000,0.01298400000000000000,-0.98236200000000000000,0.01290000000000000000,Trade,21:31 2025-05-25,18:30 2025-05-25
ARKMUSDT,SELL,153.00000000000000000000,0.63630000000000000000,1.86901587000000000000,0.64900000000000000000,Trade,21:14 2025-05-25,18:16 2025-05-25
ONDOUSDT,SELL,169.00000000000000000000,0.91790000000000000000,1.85765174000000000000,0.92955976000000000000,Trade,21:14 2025-05-25,18:31 2025-05-25
AAVEUSDT,SELL,1.00000000000000000000,264.53500000000000000000,-2.64205650000000000000,262.09000000000000000000,Trade,20:16 2025-05-25,18:30 2025-05-25
ADAUSDT,BUY,131.00000000000000000000,0.74330000000000000000,-1.05948675000000000000,0.75090000000000000000,Trade,19:56 2025-05-25,14:56 2025-05-25
TAOUSDT,SELL,0.35900000000000000000,416.88980502000000000000,1.83521965000000000000,422.46348189000000000000,Trade,19:54 2025-05-25,18:30 2025-05-25
BTCUSDT,BUY,0.00200000000000000000,107302.50000000000000000000,-0.88935415000000000000,107666.50000000000000000000,Trade,19:30 2025-05-25,18:10 2025-05-25
AVAXUSDT,BUY,8.30000000000000000000,22.28400000000000000000,-1.13526570000000000000,22.40400000000000000000,Trade,19:25 2025-05-25,18:11 2025-05-25
HYPEUSDT,SELL,3.26000000000000000000,38.49650921000000000000,2.30225729000000000000,39.23200000000000000000,Trade,19:19 2025-05-25,18:30 2025-05-25
WIFUSDT,BUY,62.00000000000000000000,1.04410000000000000000,1.91793032000000000000,1.01240000000000000000,Trade,15:23 2025-05-25,14:53 2025-05-25
ETHUSDT,BUY,0.06000000000000000000,2514.75000000000000000000,1.73465199000000000000,2483.97000000000000000000,Trade,15:22 2025-05-25,14:06 2025-05-25
1000PEPEUSDT,BUY,9900.00000000000000000000,0.01300000000000000000,1.78550955000000000000,0.01281000000000000000,Trade,15:20 2025-05-25,15:00 2025-05-25
TAOUSDT,BUY,0.35900000000000000000,417.39000000000000000000,1.88475555000000000000,411.83000000000000000000,Trade,15:18 2025-05-25,14:25 2025-05-25
RENDERUSDT,BUY,29.30000000000000000000,4.55300000000000000000,1.33643746000000000000,4.50400000000000000000,Trade,15:18 2025-05-25,14:53 2025-05-25
AVAXUSDT,BUY,7.50000000000000000000,22.45200000000000000000,1.83228412000000000000,22.19100000000000000000,Trade,15:09 2025-05-25,14:09 2025-05-25
NEARUSDT,BUY,55.20000000000000000000,2.70500000000000000000,1.82107560000000000000,2.67000000000000000000,Trade,15:09 2025-05-25,14:05 2025-05-25
SOLUSDT,SELL,0.20000000000000000000,171.66000000000000000000,0.01020840000000000000,171.90000000000000000000,Trade,14:26 2025-05-25,14:26 2025-05-25
ADAUSDT,BUY,212.00000000000000000000,0.73580000000000000000,-1.09828829000000000000,0.74050000000000000000,Trade,12:15 2025-05-25,07:32 2025-05-25
HYPEUSDT,BUY,2.64000000000000000000,34.70000000000000000000,-1.07644376000000000000,35.08500000000000000000,Trade,09:41 2025-05-25,07:30 2025-05-25
AAVEUSDT,BUY,0.34000000000000000000,267.81000000000000000000,1.92065303000000000000,261.99000000000000000000,Trade,09:07 2025-05-25,07:17 2025-05-25
DOGEUSDT,BUY,624.00000000000000000000,0.22110000000000000000,1.94988540000000000000,0.21783000000000000000,Trade,08:50 2025-05-25,07:32 2025-05-25
BNBUSDT,BUY,0.50000000000000000000,661.10000000000000000000,1.54934941000000000000,657.20000000000000000000,Trade,08:50 2025-05-25,07:20 2025-05-25
BTCUSDT,BUY,0.00200000000000000000,107605.70000000000000000000,1.27209381000000000000,106900.10000000000000000000,Trade,08:50 2025-05-25,07:33 2025-05-25
ETHUSDT,BUY,0.07000000000000000000,2492.81000000000000000000,1.95411961000000000000,2463.29000000000000000000,Trade,08:50 2025-05-25,07:32 2025-05-25
XRPUSDT,BUY,89.00000000000000000000,2.30580000000000000000,1.75487832000000000000,2.28450000000000000000,Trade,08:50 2025-05-25,07:33 2025-05-25
ARKMUSDT,BUY,175.00000000000000000000,0.65190000000000000000,1.83441650000000000000,0.64100000000000000000,Trade,08:48 2025-05-25,07:32 2025-05-25
ENAUSDT,BUY,312.00000000000000000000,0.36290000000000000000,1.32551640000000000000,0.35840000000000000000,Trade,08:29 2025-05-25,07:31 2025-05-25
TAOUSDT,BUY,0.40700000000000000000,425.40000000000000000000,1.81289464000000000000,420.65056512000000000000,Trade,08:27 2025-05-25,07:33 2025-05-25
ONDOUSDT,BUY,188.00000000000000000000,0.93160000000000000000,1.83364954000000000000,0.92120000000000000000,Trade,08:26 2025-05-25,07:37 2025-05-25
SUIUSDT,BUY,30.00000000000000000000,3.62320000000000000000,1.55319156000000000000,3.56910000000000000000,Trade,08:20 2025-05-25,07:16 2025-05-25
RENDERUSDT,BUY,35.50000000000000000000,4.62800000000000000000,1.32692955000000000000,4.58700000000000000000,Trade,08:09 2025-05-25,07:33 2025-05-25
WIFUSDT,BUY,57.00000000000000000000,1.06570000000000000000,-1.03790417000000000000,1.08310000000000000000,Trade,07:47 2025-05-25,07:32 2025-05-25
1000PEPEUSDT,BUY,10000.00000000000000000000,0.01350000000000000000,-1.12181100000000000000,0.01360200000000000000,Trade,07:46 2025-05-25,07:32 2025-05-25
XRPUSDT,SELL,21.00000000000000000000,2.33000000000000000000,-0.48518558000000000000,2.30910000000000000000,Trade,07:20 2025-05-25,07:20 2025-05-25
AAVEUSDT,SELL,0.81000000000000000000,264.36000000000000000000,1.33868411000000000000,266.21407407000000000000,Trade,07:15 2025-05-25,07:15 2025-05-25
RENDERUSDT,SELL,52.00000000000000000000,4.88400000000000000000,-12.52778801000000000000,4.64900000000000000000,Trade,07:10 2025-05-25,07:10 2025-05-25
1000PEPEUSDT,BUY,10000.00000000000000000000,0.01380400000000000000,-1.11237200000000000000,0.01390000000000000000,Trade,20:14 2025-05-24,19:00 2025-05-24
WIFUSDT,BUY,65.00000000000000000000,1.09580000000000000000,-1.05497080000000000000,1.11120000000000000000,Trade,19:40 2025-05-24,19:01 2025-05-24
SOLUSDT,SELL,0.20000000000000000000,176.75000000000000000000,-0.04488170000000000000,176.72000000000000000000,Trade,17:46 2025-05-24,17:46 2025-05-24
SOLUSDT,BUY,0.50000000000000000000,176.87000000000000000000,-0.00629325000000000000,176.75000000000000000000,Trade,17:45 2025-05-24,17:45 2025-05-24
SOLUSDT,BUY,0.50000000000000000000,177.00000000000000000000,-0.02635300000000000000,176.92000000000000000000,Trade,17:44 2025-05-24,17:44 2025-05-24
SOLUSDT,SELL,0.20000000000000000000,177.02000000000000000000,-0.04494110000000000000,176.99000000000000000000,Trade,17:43 2025-05-24,17:43 2025-05-24
SOLUSDT,SELL,0.50000000000000000000,177.08000000000000000000,-0.13136925000000000000,176.95000000000000000000,Trade,17:41 2025-05-24,17:41 2025-05-24
SOLUSDT,SELL,1.00000000000000000000,176.75000000000000000000,-0.25249650000000000000,176.63000000000000000000,Trade,17:33 2025-05-24,17:33 2025-05-24
SOLUSDT,SELL,1.70000000000000000000,176.57000000000000000000,-0.08920155000000000000,176.65000000000000000000,Trade,17:26 2025-05-24,17:26 2025-05-24
ARKMUSDT,SELL,539.00000000000000000000,0.73253062000000000000,-25.91584339000000000000,0.68530000000000000000,Trade,22:44 2025-05-23,14:52 2025-05-23
AVAXUSDT,SELL,4.00000000000000000000,23.83000000000000000000,-1.01497080000000000000,23.59400000000000000000,Trade,21:56 2025-05-23,21:25 2025-05-23
WIFUSDT,BUY,17.00000000000000000000,1.19840000000000000000,-0.05132598000000000000,1.20010000000000000000,Trade,17:02 2025-05-23,17:02 2025-05-23
AAVEUSDT,SELL,0.07000000000000000000,255.34000000000000000000,-0.07842884000000000000,254.50000000000000000000,Trade,15:55 2025-05-23,15:55 2025-05-23
AAVEUSDT,BUY,0.14000000000000000000,254.93000000000000000000,-0.00015302000000000000,254.74000000000000000000,Trade,15:55 2025-05-23,15:55 2025-05-23
AAVEUSDT,SELL,0.46000000000000000000,255.16000000000000000000,-0.04205550000000000000,255.26000000000000000000,Trade,15:54 2025-05-23,15:54 2025-05-23
AAVEUSDT,BUY,1.99000000000000000000,255.86000000000000000000,1.01140755000000000000,255.16000000000000000000,Trade,15:54 2025-05-23,15:54 2025-05-23
AAVEUSDT,SELL,1.00000000000000000000,256.61000000000000000000,-0.94204500000000000000,255.86000000000000000000,Trade,15:49 2025-05-23,15:49 2025-05-23
ARKMUSDT,BUY,539.00000000000000000000,0.72330000000000000000,-5.22250410000000000000,0.73244175000000000000,Trade,14:52 2025-05-23,14:52 2025-05-23
XRPUSDT,BUY,18.00000000000000000000,2.42500000000000000000,2.15896311000000000000,2.30270000000000000000,Trade,12:16 2025-05-23,07:44 2025-05-23
BNBUSDT,BUY,0.13000000000000000000,683.50000000000000000000,2.13534945000000000000,666.40000000000000000000,Trade,12:07 2025-05-23,07:46 2025-05-23
KAITOUSDT,BUY,220.00000000000000000000,2.07170000000000000000,19.93704404000000000000,1.97897773000000000000,Trade,12:00 2025-05-23,07:49 2025-05-23
ONDOUSDT,BUY,50.00000000000000000000,1.01960000000000000000,2.43556725000000000000,0.97020000000000000000,Trade,12:00 2025-05-23,08:31 2025-05-23
ETHUSDT,BUY,0.01000000000000000000,2672.92000000000000000000,1.20112437000000000000,2550.87000000000000000000,Trade,11:52 2025-05-23,08:38 2025-05-23
SOLUSDT,SELL,0.40000000000000000000,181.46000000000000000000,-0.97792980000000000000,179.15000000000000000000,Trade,11:51 2025-05-23,11:47 2025-05-23
RENDERUSDT,BUY,15.50000000000000000000,5.26800000000000000000,2.69927695000000000000,5.09000000000000000000,Trade,11:48 2025-05-23,08:38 2025-05-23
AAVEUSDT,SELL,0.54000000000000000000,255.44000000000000000000,1.89046926000000000000,259.16000000000000000000,Trade,09:15 2025-05-23,07:51 2025-05-23
WIFUSDT,BUY,7.00000000000000000000,1.25810000000000000000,-0.04120470000000000000,1.26260000000000000000,Trade,09:10 2025-05-23,09:10 2025-05-23
ONDOUSDT,SELL,1.00000000000000000000,1.01460000000000000000,-0.00121601000000000000,1.01450000000000000000,Trade,07:38 2025-05-23,07:38 2025-05-23
WIFUSDT,BUY,17.00000000000000000000,1.14260000000000000000,-1.02152167000000000000,1.20180000000000000000,Trade,22:38 2025-05-22,20:36 2025-05-22
MOCAUSDT,SELL,5348.00000000000000000000,0.09217000000000000000,-26.33002504000000000000,0.08735000000000000000,Liquidation,17:55 2025-05-21,17:55 2025-05-21
BTCUSDT,SELL,0.01100000000000000000,107974.00000000000000000000,-26.32309004000000000000,105660.70000000000000000000,Liquidation,17:55 2025-05-21,17:55 2025-05-21
SOLUSDT,SELL,3.80000000000000000000,168.05000000000000000000,-11.69601231000000000000,165.23000000000000000000,Liquidation,17:55 2025-05-21,17:55 2025-05-21
BTCUSDT,SELL,0.00900000000000000000,107392.90000000000000000000,-1.68647292000000000000,107286.00000000000000000000,Trade,13:54 2025-05-21,13:54 2025-05-21
FOXYUSDT,BUY,54900.00000000000000000000,0.00261800000000000000,-4.08434367000000000000,0.00268994000000000000,Trade,22:01 2025-05-20,22:01 2025-05-20
GUNUSDT,SELL,8327.00000000000000000000,0.05236964000000000000,-22.76661085000000000000,0.04969679000000000000,Trade,12:05 2025-05-20,06:57 2025-05-20
ALCHUSDT,SELL,3535.00000000000000000000,0.15877479000000000000,-27.59969207000000000000,0.15114556000000000000,Trade,10:42 2025-05-20,07:01 2025-05-20
SOLUSDT,SELL,13.10000000000000000000,162.61000000000000000000,74.67799225000000000000,168.50000000000000000000,Trade,06:56 2025-05-20,06:56 2025-05-20
KAITOUSDT,SELL,150.00000000000000000000,1.85450000000000000000,-11.98823782000000000000,1.74277266000000000000,Trade,04:41 2025-05-19,04:41 2025-05-19
SOLUSDT,SELL,4.70000000000000000000,167.90000000000000000000,-20.48815565000000000000,163.66000000000000000000,Trade,04:41 2025-05-19,19:32 2025-05-18
MOODENGUSDT,BUY,430.00000000000000000000,0.25208000000000000000,4.00673417000000000000,0.24249000000000000000,Trade,04:38 2025-05-19,04:38 2025-05-19
BTCUSDT,SELL,0.01500000000000000000,104533.00000000000000000000,-21.22606290000000000000,103232.20000000000000000000,Trade,04:06 2025-05-19,03:01 2025-05-19
WIFUSDT,SELL,512.00000000000000000000,0.95220000000000000000,29.50595272000000000000,1.01092656000000000000,Trade,18:05 2025-05-18,18:05 2025-05-18
